# Mem write profile: 0x0605224C-0x0605225C
# pc addr val sz [chain=callee<-caller<-...]
pc=0x060367A4 addr=0x0605225A val=0xAA87 sz=2 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367E0 addr=0x0605224C val=0xFFA41C65 sz=4 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367F0 addr=0x06052254 val=0xFF9CFABB sz=4 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060389B0 addr=0x06052250 val=0x0 sz=4 chain=0x060386D8<-0x06037E28<-0x06028000<-0x06007300
pc=0x06038A62 addr=0x06052258 val=0x0 sz=2 chain=0x060386D8<-0x06037E28<-0x06028000<-0x06007300
pc=0x06038A70 addr=0x0605225C val=0x0 sz=2 chain=0x060386D8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367A4 addr=0x0605225A val=0xAA87 sz=2 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367E0 addr=0x0605224C val=0xFFA67BED sz=4 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367F0 addr=0x06052254 val=0xFF9B98AE sz=4 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060389B0 addr=0x06052250 val=0x0 sz=4 chain=0x060386D8<-0x06037E28<-0x06028000<-0x06007300
pc=0x06038A62 addr=0x06052258 val=0x0 sz=2 chain=0x060386D8<-0x06037E28<-0x06028000<-0x06007300
pc=0x06038A70 addr=0x0605225C val=0x0 sz=2 chain=0x060386D8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367A4 addr=0x0605225A val=0xAA87 sz=2 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367E0 addr=0x0605224C val=0xFFA8DA76 sz=4 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367F0 addr=0x06052254 val=0xFF9A3736 sz=4 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060389B0 addr=0x06052250 val=0x0 sz=4 chain=0x060386D8<-0x06037E28<-0x06028000<-0x06007300
pc=0x06038A62 addr=0x06052258 val=0x0 sz=2 chain=0x060386D8<-0x06037E28<-0x06028000<-0x06007300
pc=0x06038A70 addr=0x0605225C val=0x0 sz=2 chain=0x060386D8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367A4 addr=0x0605225A val=0xAA87 sz=2 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367E0 addr=0x0605224C val=0xFFAB37FF sz=4 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367F0 addr=0x06052254 val=0xFF98D653 sz=4 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060389B0 addr=0x06052250 val=0x0 sz=4 chain=0x060386D8<-0x06037E28<-0x06028000<-0x06007300
pc=0x06038A62 addr=0x06052258 val=0x0 sz=2 chain=0x060386D8<-0x06037E28<-0x06028000<-0x06007300
pc=0x06038A70 addr=0x0605225C val=0x0 sz=2 chain=0x060386D8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367A4 addr=0x0605225A val=0xAA87 sz=2 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367E0 addr=0x0605224C val=0xFFAD9489 sz=4 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367F0 addr=0x06052254 val=0xFF977605 sz=4 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060389B0 addr=0x06052250 val=0x0 sz=4 chain=0x060386D8<-0x06037E28<-0x06028000<-0x06007300
pc=0x06038A62 addr=0x06052258 val=0x0 sz=2 chain=0x060386D8<-0x06037E28<-0x06028000<-0x06007300
pc=0x06038A70 addr=0x0605225C val=0x0 sz=2 chain=0x060386D8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367A4 addr=0x0605225A val=0xAA87 sz=2 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367E0 addr=0x0605224C val=0xFFAFF014 sz=4 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367F0 addr=0x06052254 val=0xFF96164B sz=4 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060389B0 addr=0x06052250 val=0x0 sz=4 chain=0x060386D8<-0x06037E28<-0x06028000<-0x06007300
pc=0x06038A62 addr=0x06052258 val=0x0 sz=2 chain=0x060386D8<-0x06037E28<-0x06028000<-0x06007300
pc=0x06038A70 addr=0x0605225C val=0x0 sz=2 chain=0x060386D8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367A4 addr=0x0605225A val=0xAA87 sz=2 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367E0 addr=0x0605224C val=0xFFB24AA1 sz=4 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
pc=0x060367F0 addr=0x06052254 val=0xFF94B725 sz=4 chain=0x06036790<-0x060352E8<-0x06037E28<-0x06028000<-0x06007300
