addr,name,kind_predicted,branch_callers,pool_callers,total_callers,first_caller
0x0602E888,FUN_0602E888,altentry,0,0,0,
0x0602E89E,FUN_0602E89E,altentry,0,0,0,
0x0602E8B8,FUN_0602E8B8,altentry,0,0,0,
0x0602EA6C,FUN_0602EA6C,altentry,0,0,0,
0x0602EAE2,FUN_0602EAE2,altentry,0,0,0,
0x0602EC96,FUN_0602EC96,altentry,1,0,1,src\race\FUN_0602B22C.s:8222 [branch]
0x0602EDDA,DAT_0602EDDA,sibling-lost,0,1,1,src\race\FUN_0602B22C.s:13891 [pool]
0x0602F036,DAT_0602F036,sibling-lost,0,1,1,src\race\FUN_0602B22C.s:13724 [pool]
0x0602F054,DAT_0602F054,sibling-lost,0,1,1,src\race\FUN_0602B22C.s:13728 [pool]
0x0602F1D4,DAT_0602F1D4,sibling-lost,0,3,3,src\race\FUN_0602B22C.s:2653 [pool]
0x0602F274,FUN_0602F274,altentry,1,0,1,src\race\FUN_0602B22C.s:9066 [branch]
0x0602F30A,FUN_0602F30A,altentry,0,0,0,
0x0602F312,DAT_0602F312,sibling-lost,0,2,2,src\race\FUN_06033DC8.s:899 [pool]
0x0602F322,FUN_0602F322,altentry,1,0,1,src\race\FUN_0602B22C.s:9181 [branch]
0x0602F32A,DAT_0602F32A,sibling-lost,0,1,1,src\race\FUN_0602B22C.s:16025 [pool]
0x0602F332,FUN_0602F332,altentry,0,0,0,
0x0602F500,FUN_0602F500,altentry,0,0,0,
0x0602F564,DAT_0602F564,sibling-lost,0,1,1,src\race\FUN_0602B22C.s:15420 [pool]
0x0602F814,DAT_0602F814,sibling-lost,0,1,1,src\race\FUN_0602B22C.s:1333 [pool]
0x0602FA08,FUN_0602FA08,altentry,0,0,0,
0x0602FA74,FUN_0602FA74,altentry,0,0,0,
0x0602FD44,FUN_0602FD44,altentry,0,0,0,
0x0602FD94,FUN_0602FD94,altentry,0,0,0,
0x06030200,DAT_06030200,unknown,0,1,1,src\race\FUN_0604D380.s:6032 [pool]
0x06030A8E,FUN_06030A8E,altentry,0,0,0,
0x06030BB8,FUN_06030BB8,altentry,0,0,0,
0x06030DAA,DAT_06030DAA,sibling-lost,0,1,1,src\race\FUN_0602B22C.s:13138 [pool]
0x06030E48,FUN_06030E48,altentry,0,0,0,
0x06030F54,FUN_06030F54,altentry,0,0,0,
0x06031B8C,FUN_06031B8C,altentry,0,0,0,
0x06031BCE,DAT_06031BCE,sibling-lost,0,1,1,src\race\FUN_06028000.s:773 [pool]
0x06031C84,DAT_06031C84,sibling-lost,0,1,1,src\race\FUN_06028000.s:278 [pool]
0x06032DDC,FUN_06032DDC,altentry,0,0,0,
0x06033466,FUN_06033466,altentry,0,0,0,
0x060335B4,DAT_060335B4,sibling-lost,0,1,1,src\race\FUN_06028000.s:1532 [pool]
0x06033656,DAT_06033656,sibling-lost,0,1,1,src\race\FUN_06028000.s:922 [pool]
0x060336FA,DAT_060336FA,sibling-lost,0,1,1,src\race\FUN_06028000.s:2943 [pool]
0x06033B62,DAT_06033B62,sibling-lost,0,1,1,src\race\FUN_06028000.s:2308 [pool]
0x06033BD8,FUN_06033BD8,altentry,0,0,0,
0x06034600,DAT_06034600,sibling-lost,0,1,1,src\race\FUN_06028000.s:296 [pool]
0x0603468E,DAT_0603468E,sibling-lost,0,1,1,src\race\FUN_06028000.s:2727 [pool]
