# Relocating words in data subsegments, audited as real
# pointers (2026-06-11). check_reloc_invariants.py fails
# on any deviation. Format: <word addr> <zero-shift target>
0x0604E124 0x0604818C
0x0604E130 0x06047E0C
0x0604EC38 0x0604FB10
0x0604EC3C 0x0604FB28
0x0604EC40 0x0604FB40
0x0604EC44 0x0604FB58
0x0604EC48 0x0604FB70
0x0604EC4C 0x06050BF0
0x0604EC50 0x06050BFC
0x0604EC6C 0x06050DDC
0x0604EC74 0x06050E7C
0x0604EC7C 0x06050F6C
0x0604EC84 0x0605119C
0x0604EC8C 0x0605124C
0x0604EC94 0x060514CC
0x0604EC98 0x0605156E
0x0604EC9C 0x06051592
0x0604ECC8 0x0604ECA0
0x0604ECCC 0x0604ECAD
0x0604ECD0 0x0604ECBA
0x0604FB10 0x0604E1F0
0x0604FB14 0x0604FAE8
0x0604FB1C 0x0604E240
0x0604FB24 0x0604E2A0
0x0604FB28 0x0604E200
0x0604FB2C 0x0604FAF0
0x0604FB34 0x0604E340
0x0604FB3C 0x0604E3D8
0x0604FB40 0x0604E210
0x0604FB44 0x0604FAF8
0x0604FB4C 0x0604E4E8
0x0604FB54 0x0604E630
0x0604FB58 0x0604E220
0x0604FB5C 0x0604FB00
0x0604FB64 0x0604E8A0
0x0604FB6C 0x0604E930
0x0604FB70 0x0604E230
0x0604FB74 0x0604FB08
0x0604FB7C 0x0604EA30
0x0604FB84 0x0604EAE8
0x06050184 0x0604FE64
0x060501AC 0x0604FF4E
0x060501D4 0x0604FFC0
0x060501FC 0x0605006E
0x06050224 0x060500E0
0x060504DC 0x060502AC
0x060504E0 0x060502B0
0x060504E4 0x060502B4
0x060504E8 0x060502B8
0x060504EC 0x060502BC
0x060504F0 0x060502C0
0x060504F4 0x060502C4
0x060504F8 0x060502C8
0x060504FC 0x060502CC
0x06050500 0x060502D0
0x06050504 0x060502DA
0x06050508 0x060502E4
0x0605050C 0x060502EE
0x06050510 0x060502F8
0x06050514 0x06050302
0x06050518 0x0605030C
0x0605051C 0x06050316
0x06050520 0x06050320
0x06050524 0x0605032A
0x06050528 0x0605033E
0x0605052C 0x06050352
0x06050530 0x06050366
0x06050534 0x0605037A
0x06050538 0x0605038E
0x0605053C 0x060503A2
0x06050540 0x060503B6
0x06050544 0x060503CA
0x06050548 0x060503DE
0x0605054C 0x060503E6
0x06050550 0x060503EE
0x06050554 0x060503F6
0x06050558 0x060503FE
0x0605055C 0x06050406
0x06050560 0x0605040E
0x06050564 0x06050416
0x06050568 0x0605041E
0x0605056C 0x06050426
0x06050570 0x0605043A
0x06050574 0x0605044E
0x06050578 0x06050462
0x0605057C 0x06050476
0x06050580 0x0605048A
0x06050584 0x0605049E
0x06050588 0x060504B2
0x0605058C 0x060504C6
0x06050D58 0x06043A54
0x06050D64 0x06043A64
0x06050D70 0x06043A74
0x06050D7C 0x06043A84
0x06050D88 0x06043A94
0x06050D94 0x06043AA4
0x06050DA0 0x06043AB4
0x06050DAC 0x06043AC4
0x06050DB8 0x06043AD4
0x06050DC4 0x06043AE4
0x06050DD0 0x06043AF4
