# Functions where NO probe ever fired during:
#   - boot through title (BIOS skipped)
#   - menu navigation through course-select-confirm
#   - rolling start (~1267 frames)
#   - poke-driven retail-lap playback (843 frames)
#
# Build: decomp transplant (decomp/build/transplant/race/race.bin)
# Sweep date: 2026-04-28
# Format: <address>  <symbol>  <probes_total>
#
0x06029588  FUN_06029588  3
0x0602A048  FUN_0602A048  2
0x0602A20C  FUN_0602A20C  2
0x0602A2A4  FUN_0602A2A4  2
0x0602A544  FUN_0602A544  2
0x0602A664  FUN_0602A664  2
0x0602A8F8  FUN_0602A8F8  1
0x0602A8FA  FUN_0602A8FA  2
0x0602AB90  FUN_0602AB90  2
0x0602AC38  FUN_0602AC38  1
0x0602AC56  FUN_0602AC56  2
0x0602AE18  FUN_0602AE18  2
0x0602AE44  FUN_0602AE44  2
0x0602AE74  FUN_0602AE74  2
0x0602AFD8  FUN_0602AFD8  2
0x0602B014  FUN_0602B014  2
0x0602B100  FUN_0602B100  2
0x0602BAD2  FUN_0602BAD2  2
0x0602BDDC  FUN_0602BDDC  2
0x0602C45A  FUN_0602C45A  3
0x0602C59A  FUN_0602C59A  3
0x0602C6F2  FUN_0602C6F2  2
0x0602C764  FUN_0602C764  2
0x0602C7C4  FUN_0602C7C4  2
0x0602C854  FUN_0602C854  2
0x0602C92A  FUN_0602C92A  3
0x0602CA14  FUN_0602CA14  2
0x0602CB26  FUN_0602CB26  1
0x0602CB28  FUN_0602CB28  2
0x0602D382  FUN_0602D382  2
0x0602D7AC  FUN_0602D7AC  2
0x0602D81A  FUN_0602D81A  1
0x0602D850  FUN_0602D850  1
0x0602D876  FUN_0602D876  1
0x0602D8B4  FUN_0602D8B4  3
0x0602E538  FUN_0602E538  1
0x0602E544  FUN_0602E544  5
0x0602E5A8  FUN_0602E5A8  2
0x0602E5C0  FUN_0602E5C0  2
0x0602E5D8  FUN_0602E5D8  2
0x0602E7F6  FUN_0602E7F6  1
0x0602E888  FUN_0602E888  1
0x0602E89E  FUN_0602E89E  2
0x0602E8B0  FUN_0602E8B0  1
