retail_name,transplant_addr,real_sigs,phantom_sigs,verdict
FUN_06028000,0x06028000,1,0,REAL_FIRE
FUN_06028DCA,0x06028DCA,1,1,REAL_FIRE
FUN_060291E0,0x060291E0,1,0,REAL_FIRE
FUN_06029588,0x06029588,2,0,REAL_FIRE
FUN_060295DE,0x060295DE,1,1,REAL_FIRE
FUN_06029810,0x06029810,3,0,REAL_FIRE
FUN_06029998,0x06029998,2,0,REAL_FIRE
FUN_06029A48,0x06029A48,0,0,SILENT
FUN_06029A60,0x06029A60,1,0,REAL_FIRE
FUN_06029A78,0x06029A78,3,0,REAL_FIRE
FUN_06029CA0,0x06029CA0,1,0,REAL_FIRE
FUN_06029D8C,0x06029D8C,1,0,REAL_FIRE
FUN_06029E90,0x06029E90,1,0,REAL_FIRE
FUN_06029F74,0x06029F74,1,0,REAL_FIRE
FUN_06029FE8,0x06029FE8,7,0,REAL_FIRE
FUN_0602A048,0x0602A048,4,0,REAL_FIRE
FUN_0602A118,0x0602A118,1,0,REAL_FIRE
FUN_0602A20C,0x0602A20C,0,0,SILENT
FUN_0602A2A4,0x0602A2A4,0,0,SILENT
FUN_0602A2FC,0x0602A2FC,0,0,SILENT
FUN_0602A370,0x0602A370,1,0,REAL_FIRE
FUN_0602A544,0x0602A544,0,0,SILENT
FUN_0602A664,0x0602A664,0,0,SILENT
FUN_0602A6EC,0x0602A6EC,1,0,REAL_FIRE
FUN_0602A818,0x0602A818,6,0,REAL_FIRE
FUN_0602A8F8,0x0602A8F8,0,0,SILENT
FUN_0602A958,0x0602A958,1,0,REAL_FIRE
FUN_0602A9F0,0x0602A9F0,0,0,SILENT
FUN_0602AA84,0x0602AA84,1,0,REAL_FIRE
FUN_0602AAA8,0x0602AAA8,3,1,REAL_FIRE
FUN_0602AB90,0x0602AB90,0,0,SILENT
FUN_0602AC38,0x0602AC38,0,0,SILENT
FUN_0602AE18,0x0602AE18,0,0,SILENT
FUN_0602AE44,0x0602AE44,0,0,SILENT
FUN_0602AE74,0x0602AE74,0,0,SILENT
FUN_0602AFD8,0x0602AFD8,0,0,SILENT
FUN_0602B014,0x0602B014,0,0,SILENT
