name,addr,size,n_entries,n_exits,entries_unfired_count,exits_unfired_count,all_clean,preceding_fn,preceding_last_exit_kind,preceding_status,fall_through_risk,flags,entries_fired,exits_fired
FUN_0602BDDC,0x0602BDDC,226,1,1,1,1,YES,FUN_0602BAD2,rts,DATA_USED,low,,,
FUN_0602C764,0x0602C764,96,1,1,1,1,YES,FUN_0602C6F2,rts,COVERAGE_BLIND,low,,,
FUN_0602E8B0,0x0602E8B0,8,1,0,1,0,YES,FUN_0602E89E,rts,COVERAGE_BLIND,low,no_exits,,
FUN_0602F178,0x0602F178,148,2,2,2,2,YES,FUN_0602F114,jmp_ind,LIVE,low,2_entries,,
FUN_0602F20C,0x0602F20C,104,1,3,1,3,YES,FUN_0602F178,rts,KILL_LIST,low,,,
FUN_0602F274,0x0602F274,68,1,1,1,1,YES,FUN_0602F20C,bra_out,KILL_LIST,low,,,
FUN_06035748,0x06035748,8,1,1,1,1,YES,FUN_060356F8,rts,DATA_USED,low,,,
FUN_06035B0E,0x06035B0E,34,1,1,1,1,YES,FUN_06035904,rts,DATA_USED,low,,,
FUN_06036790,0x06036790,10,1,1,1,1,YES,FUN_06036770,rts,DATA_USED,low,,,
FUN_06036914,0x06036914,52,1,1,1,1,YES,FUN_060368D4,rts,DATA_USED,low,,,
FUN_06036948,0x06036948,72,1,1,1,1,YES,FUN_06036914,rts,KILL_LIST,low,,,
FUN_06036BB8,0x06036BB8,14,1,0,1,0,YES,FUN_06036B6E,rts,LIVE,low,no_exits,,
FUN_06036D52,0x06036D52,42,1,1,1,1,YES,FUN_06036CF8,rts,DATA_USED,low,,,
FUN_06036E6C,0x06036E6C,36,1,1,1,1,YES,FUN_06036E14,rts,?,low,,,
FUN_06037658,0x06037658,4,1,0,1,0,YES,FUN_060375F0,rts,?,low,no_exits,,
FUN_06037B98,0x06037B98,96,1,1,1,1,YES,FUN_060379F6,rts,?,low,,,
FUN_06038DD8,0x06038DD8,20,1,0,1,0,YES,FUN_06038C64,rts,LIVE,low,no_exits,,
FUN_06039AA4,0x06039AA4,236,1,2,1,2,YES,FUN_0603976C,rts,LIVE,low,,,
FUN_06042C64,0x06042C64,12,1,0,1,0,YES,FUN_06042B7E,rts,SWEEP_FALSE_DEAD,low,no_exits,,
FUN_060457AA,0x060457AA,2,1,0,1,0,YES,FUN_06045784,rts,?,low,no_exits,,
FUN_060467B2,0x060467B2,2,1,0,0,0,NO,FUN_0604674E,rts,SWEEP_FALSE_DEAD,low,"PROBE_FIRED,no_exits",0x060467AE@cs4_track5,
FUN_06047EF0,0x06047EF0,352,3,8,3,8,YES,FUN_06047EA8,rts,DATA_USED,low,3_entries,,
