start,end,size,type,pinned_entry_tu,cdl_code_cs1,cdl_code_cs2,cdl_code_cs3,cdl_code_cs4,cdl_read_max,cdl_write_max,bp_attract,bp_threeseven,old_overlap,old_fn_count,old_sweep_dead_count,old_buckets,verdict,discrepancy
0x06028000,0x06028DC9,3530,code,1,546,608,594,608,270,0,3,3,EXACT,1,0,,RETAIL_LIVE,
0x06028DCA,0x060291DF,1046,code,1,0,0,0,0,24,0,2,2,EXACT,1,0,,RETAIL_LIVE,
0x060291E0,0x06029587,936,code,1,0,0,0,0,0,0,2,2,EXACT,1,0,,RETAIL_LIVE,
0x06029588,0x060295DD,86,code,1,0,0,0,0,0,0,0,0,EXACT,1,1,B1,RETAIL_DEAD_PINNED,
0x060295DE,0x0602980F,562,code,1,0,236,206,206,44,0,0,0,EXACT,1,0,,RETAIL_LIVE,
0x06029810,0x06029997,392,code,0,0,0,0,0,0,0,0,2,EXACT,1,0,,RETAIL_LIVE,
0x06029998,0x06029A47,176,code,0,0,0,0,0,0,0,3,3,MULTI_MISMATCH,2,0,,RETAIL_LIVE,
0x06029A48,0x06029A5F,24,code,0,0,0,0,0,0,0,0,0,NEW_INSIDE_OLD,1,0,,RETAIL_DEAD,OLD_LIVE_BUT_RETAIL_DEAD
0x06029A60,0x06029A77,24,code,0,0,0,0,0,0,0,0,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x06029A78,0x06029C9F,552,code,0,320,320,320,320,112,0,3,3,MERGED,2,0,,RETAIL_LIVE,
0x06029CA0,0x06029D8B,236,code,0,112,112,112,112,12,0,2,2,EXACT,1,0,,RETAIL_LIVE,
0x06029D8C,0x06029E8F,260,code,0,210,210,214,210,0,0,2,2,EXACT,1,0,,RETAIL_LIVE,
0x06029E90,0x06029F73,228,code,0,122,122,122,122,88,0,2,2,EXACT,1,0,,RETAIL_LIVE,
0x06029F74,0x06029FE7,116,code,0,20,20,20,20,4,0,2,2,EXACT,1,0,,RETAIL_LIVE,
0x06029FE8,0x0602A047,96,code,0,86,86,86,86,0,0,2,2,EXACT,1,0,,RETAIL_LIVE,
0x0602A048,0x0602A117,208,code,0,124,124,124,124,64,0,0,0,EXACT,1,1,B5,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x0602A118,0x0602A20B,244,code,0,126,182,166,166,48,0,2,2,EXACT,1,0,,RETAIL_LIVE,
0x0602A20C,0x0602A2A3,152,code,0,0,112,96,96,28,0,0,0,EXACT,1,1,B5,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x0602A2A4,0x0602A2FB,88,code,0,0,52,0,0,24,0,0,0,EXACT,1,1,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x0602A2FC,0x0602A36F,116,code,0,110,110,110,110,4,0,2,2,EXACT,1,0,,RETAIL_LIVE,
0x0602A370,0x0602A543,468,code,0,36,36,44,36,0,0,2,2,EXACT,1,0,,RETAIL_LIVE,
0x0602A544,0x0602A663,288,code,0,0,0,0,0,0,0,2,2,EXACT,1,1,B5,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
