frame,+0x00,+0x04,+0x08,+0x0C
0,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
1,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
2,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
3,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
4,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
5,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
6,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
7,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
8,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
9,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
10,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
11,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
12,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
13,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
14,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
15,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
16,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
17,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
18,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
19,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
20,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
21,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
22,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
23,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
24,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
25,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
26,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
27,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
28,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
29,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
30,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
31,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
32,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
33,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
34,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
35,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
36,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
37,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
38,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
39,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
40,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
41,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
42,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
43,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
44,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
45,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
46,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
47,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
48,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
49,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
50,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
51,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
52,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
53,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
54,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
55,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
56,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
57,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
58,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
59,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
60,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
61,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
62,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
63,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
64,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
65,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
66,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
67,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
68,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
69,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
70,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
71,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
72,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
73,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
74,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
75,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
76,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
77,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
78,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
79,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
80,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
81,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
82,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
83,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
84,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
85,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
86,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
87,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
88,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
89,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
90,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
91,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
92,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
93,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
94,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
95,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
96,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
97,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
98,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
99,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
100,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
101,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
102,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
103,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
104,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
105,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
106,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
107,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
108,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
109,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
110,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
111,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
112,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
113,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
114,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
115,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
116,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
117,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
118,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
119,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
120,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
121,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
122,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
123,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
124,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
125,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
126,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
127,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
128,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
129,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
130,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
131,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
132,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
133,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
134,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
135,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
136,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
137,0x02161999,0x0029B528,0xFF5E6667,0x02B31FD7
