frame,+0x00,+0x04,+0x08,+0x0C
0,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
1,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
2,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
3,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
4,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
5,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
6,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
7,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
8,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
9,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
10,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
11,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
12,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
13,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
14,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
15,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
16,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
17,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
18,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
19,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
20,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
21,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
22,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
23,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
24,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
25,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
26,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
27,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
28,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
29,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
30,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
31,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
32,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
33,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
34,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
35,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
36,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
37,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
38,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
39,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
40,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
41,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
42,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
43,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
44,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
45,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
46,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
47,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
48,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
49,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
50,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
51,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
52,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
53,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
54,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
55,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
56,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
57,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
58,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
59,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
60,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
61,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
62,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
63,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
64,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
65,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
66,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
67,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
68,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
69,0xFF6E0A23,0x0014B2C8,0xFF8AAEAA,0xFF5E5580
70,0xFF6E064B,0x0014B2B3,0xFF8AAC6D,0xFF5E5580
71,0xFF6E064B,0x0014B2B3,0xFF8AAC6D,0xFF5E5580
72,0xFF6E01E6,0x0014B29B,0xFF8AA9DD,0xFF5E5580
73,0xFF6E01E6,0x0014B29B,0xFF8AA9DD,0xFF5E5580
74,0xFF6DFCF7,0x0014B280,0xFF8AA6FD,0xFF5E5580
75,0xFF6DFCF7,0x0014B280,0xFF8AA6FD,0xFF5E5580
76,0xFF6DF780,0x0014B262,0xFF8AA3CD,0xFF5E5580
77,0xFF6DF780,0x0014B262,0xFF8AA3CD,0xFF5E5580
78,0xFF6DF2A4,0x0014B247,0xFF8AA0F8,0xFF5E5580
79,0xFF6DF2A4,0x0014B247,0xFF8AA0F8,0xFF5E5580
80,0xFF6DEE56,0x0014B22F,0xFF8A9E76,0xFF5E5580
81,0xFF6DEE56,0x0014B22F,0xFF8A9E76,0xFF5E5580
82,0xFF6DEA91,0x0014B21B,0xFF8A9C44,0xFF5E5580
83,0xFF6DEA91,0x0014B21B,0xFF8A9C44,0xFF5E5580
84,0xFF6DE754,0x0014B209,0xFF8A9A61,0xFF5E5580
85,0xFF6DE754,0x0014B209,0xFF8A9A61,0xFF5E5580
86,0xFF6DE49F,0x0014B1FA,0xFF8A98CD,0xFF5E5580
87,0xFF6DE49F,0x0014B1FA,0xFF8A98CD,0xFF5E5580
88,0xFF6DE271,0x0014B1EE,0xFF8A9788,0xFF5E5580
89,0xFF6DE271,0x0014B1EE,0xFF8A9788,0xFF5E5580
90,0xFF6DE0CB,0x0014B1E5,0xFF8A9692,0xFF5E5580
91,0xFF6DE0CB,0x0014B1E5,0xFF8A9692,0xFF5E5580
92,0xFF6DDFAD,0x0014B1DF,0xFF8A95EB,0xFF5E5580
93,0xFF6DDFAD,0x0014B1DF,0xFF8A95EB,0xFF5E5580
94,0xFF6DDF19,0x0014B1DC,0xFF8A9594,0xFF5E5580
95,0xFF6DDF19,0x0014B1DC,0xFF8A9594,0xFF5E5580
96,0xFF6DDEF0,0x0014B1DB,0xFF8A957C,0xFF5E5580
97,0xFF6DDEF0,0x0014B1DB,0xFF8A957C,0xFF5E5580
98,0xFF6DDEF0,0x0014B1DB,0xFF8A957C,0xFF5E5580
99,0xFF6DDEF0,0x0014B1DB,0xFF8A957C,0xFF5E5580
100,0xFF6DDEF0,0x0014B1DB,0xFF8A957C,0xFF5E5580
101,0xFF6DDEF0,0x0014B1DB,0xFF8A957C,0xFF5E5580
102,0xFF6DDECF,0x0014B1DA,0xFF8A9568,0xFF5E5580
103,0xFF6DDECF,0x0014B1DA,0xFF8A9568,0xFF5E5580
104,0xFF6DDE5E,0x0014B1D8,0xFF8A9526,0xFF5E5580
105,0xFF6DDE5E,0x0014B1D8,0xFF8A9526,0xFF5E5580
106,0xFF6DDD70,0x0014B1D3,0xFF8A949B,0xFF5E5580
107,0xFF6DDD70,0x0014B1D3,0xFF8A949B,0xFF5E5580
108,0xFF6DDBF9,0x0014B1CB,0xFF8A93C0,0xFF5E5580
109,0xFF6DDBF9,0x0014B1CB,0xFF8A93C0,0xFF5E5580
110,0xFF6DD9F6,0x0014B1C0,0xFF8A9293,0xFF5E5580
111,0xFF6DD9F6,0x0014B1C0,0xFF8A9293,0xFF5E5580
112,0xFF6DD765,0x0014B1B2,0xFF8A9114,0xFF5E5580
113,0xFF6DD765,0x0014B1B2,0xFF8A9114,0xFF5E5580
114,0xFF6DD449,0x0014B1A1,0xFF8A8F44,0xFF5E5580
115,0xFF6DD449,0x0014B1A1,0xFF8A8F44,0xFF5E5580
116,0xFF6DD0A3,0x0014B18D,0xFF8A8D23,0xFF5E5580
117,0xFF6DD0A3,0x0014B18D,0xFF8A8D23,0xFF5E5580
118,0xFF6DCBD9,0x0014B172,0xFF8A8A59,0xFF5E5580
119,0xFF6DCBD9,0x0014B172,0xFF8A8A59,0xFF5E5580
120,0xFF6DC572,0x0014B14F,0xFF8A869D,0xFF5E5580
121,0xFF6DC572,0x0014B14F,0xFF8A869D,0xFF5E5580
122,0xFF6DBD1A,0x0014B121,0xFF8A81C0,0xFF5E5580
123,0xFF6DBD1A,0x0014B121,0xFF8A81C0,0xFF5E5580
124,0xFF6DB2A6,0x0014B0E8,0xFF8A7BA8,0xFF5E5580
125,0xFF6DB2A6,0x0014B0E8,0xFF8A7BA8,0xFF5E5580
126,0xFF6DA5ED,0x0014B0A3,0xFF8A743E,0xFF5E5580
127,0xFF6DA5ED,0x0014B0A3,0xFF8A743E,0xFF5E5580
128,0xFF6D96C5,0x0014B04F,0xFF8A6B69,0xFF5E5580
129,0xFF6D96C5,0x0014B04F,0xFF8A6B69,0xFF5E5580
130,0xFF6D8506,0x0014AFEE,0xFF8A6111,0xFF5E5580
131,0xFF6D8506,0x0014AFEE,0xFF8A6111,0xFF5E5580
132,0xFF6D70A8,0x0014AF7F,0xFF8A5532,0xFF5E5580
133,0xFF6D70A8,0x0014AF7F,0xFF8A5532,0xFF5E5580
134,0xFF6D59AF,0x0014AF00,0xFF8A47CE,0xFF5E5580
135,0xFF6D59AF,0x0014AF00,0xFF8A47CE,0xFF5E5580
136,0xFF6D401F,0x0014AE74,0xFF8A38E8,0xFF5E5580
137,0xFF6D401F,0x0014AE74,0xFF8A38E8,0xFF5E5580
