runtime_addr,name,size,category,n_alive_tracks,cs1_dino_canyon,cs2_seaside,cs3_track4,cs4_track5
0x06028000,FUN_06000000,3530,TRACK_AGNOSTIC,4,546,608,594,608
0x06028DCA,FUN_06000DCA,1046,TRACK_DEAD,0,0,0,0,0
0x060291E0,FUN_060011E0,936,TRACK_DEAD,0,0,0,0,0
0x06029588,FUN_06001588,86,TRACK_DEAD,0,0,0,0,0
0x060295DE,FUN_060015DE,562,TRACK_PARTIAL,3,0,236,206,206
0x06029810,FUN_06001810,392,TRACK_DEAD,0,0,0,0,0
0x06029998,FUN_06001998,30,TRACK_DEAD,0,0,0,0,0
0x060299B6,FUN_060019B6,194,TRACK_DEAD,0,0,0,0,0
0x06029A78,FUN_06001A78,30,TRACK_AGNOSTIC,4,28,28,28,28
0x06029A96,FUN_06001A96,522,TRACK_AGNOSTIC,4,292,292,292,292
0x06029CA0,FUN_06001CA0,236,TRACK_AGNOSTIC,4,112,112,112,112
0x06029D8C,FUN_06001D8C,260,TRACK_AGNOSTIC,4,210,210,214,210
0x06029E90,FUN_06001E90,228,TRACK_AGNOSTIC,4,122,122,122,122
0x06029F74,FUN_06001F74,116,TRACK_AGNOSTIC,4,20,20,20,20
0x06029FE8,FUN_06001FE8,96,TRACK_AGNOSTIC,4,86,86,86,86
0x0602A048,FUN_06002048,208,TRACK_AGNOSTIC,4,124,124,124,124
0x0602A118,FUN_06002118,244,TRACK_AGNOSTIC,4,126,182,166,166
0x0602A20C,FUN_0600220C,152,TRACK_PARTIAL,3,0,112,96,96
0x0602A2A4,FUN_060022A4,88,TRACK_PARTIAL,1,0,52,0,0
0x0602A2FC,FUN_060022FC,116,TRACK_AGNOSTIC,4,110,110,110,110
0x0602A370,FUN_06002370,468,TRACK_AGNOSTIC,4,36,36,44,36
0x0602A544,FUN_06002544,288,TRACK_DEAD,0,0,0,0,0
0x0602A664,FUN_06002664,136,TRACK_DEAD,0,0,0,0,0
0x0602A6EC,FUN_060026EC,300,TRACK_AGNOSTIC,4,224,224,224,224
0x0602A818,FUN_06002818,224,TRACK_AGNOSTIC,4,190,212,190,212
0x0602A8F8,FUN_060028F8,2,TRACK_DEAD,0,0,0,0,0
0x0602A8FA,FUN_060028FA,94,TRACK_DEAD,0,0,0,0,0
0x0602A958,FUN_06002958,152,TRACK_AGNOSTIC,4,110,110,112,110
0x0602A9F0,FUN_060029F0,184,TRACK_AGNOSTIC,4,134,134,134,134
0x0602AAA8,FUN_06002AA8,14,TRACK_AGNOSTIC,4,12,12,12,12
0x0602AAB6,FUN_06002AB6,386,TRACK_AGNOSTIC,4,128,188,128,188
0x0602AC38,FUN_06002C38,30,TRACK_DEAD,0,0,0,0,0
0x0602AC56,FUN_06002C56,450,TRACK_DEAD,0,0,0,0,0
0x0602AE18,FUN_06002E18,44,TRACK_DEAD,0,0,0,0,0
0x0602AE44,FUN_06002E44,48,TRACK_DEAD,0,0,0,0,0
0x0602AE74,FUN_06002E74,356,TRACK_DEAD,0,0,0,0,0
0x0602AFD8,FUN_06002FD8,60,TRACK_DEAD,0,0,0,0,0
0x0602B014,FUN_06003014,236,TRACK_DEAD,0,0,0,0,0
0x0602B100,FUN_06003100,192,TRACK_DEAD,0,0,0,0,0
0x0602B1C0,FUN_060031C0,108,TRACK_AGNOSTIC,4,8,8,8,8
0x0602B22C,FUN_0600322C,1192,TRACK_DEAD,0,0,0,0,0
0x0602B6D4,FUN_060036D4,28,TRACK_AGNOSTIC,4,26,26,26,26
0x0602B6F0,FUN_060036F0,968,TRACK_AGNOSTIC,4,524,524,524,524
0x0602BAB8,FUN_06003AB8,26,TRACK_AGNOSTIC,4,24,24,24,24
0x0602BAD2,FUN_06003AD2,778,TRACK_AGNOSTIC,4,256,256,256,256
0x0602BDDC,FUN_06003DDC,226,TRACK_AGNOSTIC,4,162,162,162,162
0x0602BEBE,FUN_06003EBE,484,TRACK_AGNOSTIC,4,302,302,302,302
0x0602C0A2,FUN_060040A2,384,TRACK_DEAD,0,0,0,0,0
0x0602C222,FUN_06004222,470,TRACK_AGNOSTIC,4,28,28,28,28
0x0602C3F8,FUN_060043F8,98,TRACK_AGNOSTIC,4,66,66,66,66
0x0602C45A,FUN_0600445A,320,TRACK_DEAD,0,0,0,0,0
0x0602C59A,FUN_0600459A,344,TRACK_DEAD,0,0,0,0,0
0x0602C6F2,FUN_060046F2,114,TRACK_DEAD,0,0,0,0,0
0x0602C764,FUN_06004764,96,TRACK_AGNOSTIC,4,40,40,40,40
0x0602C7C4,FUN_060047C4,144,TRACK_DEAD,0,0,0,0,0
0x0602C854,FUN_06004854,214,TRACK_DEAD,0,0,0,0,0
0x0602C92A,FUN_0600492A,234,TRACK_DEAD,0,0,0,0,0
0x0602CA14,FUN_06004A14,274,TRACK_DEAD,0,0,0,0,0
0x0602CB26,FUN_06004B26,2,TRACK_DEAD,0,0,0,0,0
0x0602CB28,FUN_06004B28,332,TRACK_AGNOSTIC,4,282,282,282,282
0x0602CC74,FUN_06004C74,292,TRACK_AGNOSTIC,4,10,10,10,10
0x0602CD98,FUN_06004D98,376,TRACK_DEAD,0,0,0,0,0
0x0602CF10,FUN_06004F10,322,TRACK_DEAD,0,0,0,0,0
0x0602D052,FUN_06005052,176,TRACK_AGNOSTIC,4,58,58,58,58
0x0602D102,FUN_06005102,56,TRACK_AGNOSTIC,4,52,52,52,52
