runtime_addr,name,size,bucket,in_sweep_dead,cdl_n_tracks_alive,bp_n_tracks_fired,combined_label,cdl_cs1_dino_canyon,cdl_cs2_seaside,cdl_cs3_track4,cdl_cs4_track5,bp_cs1_dino_canyon,bp_cs2_seaside,bp_cs3_track4,bp_cs4_track5
0x06028000,FUN_06000000,3530,,0,4,4,LIVE,546,608,594,608,1,1,1,1
0x06028DCA,FUN_06000DCA,1046,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x060291E0,FUN_060011E0,936,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06029588,FUN_06001588,86,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x060295DE,FUN_060015DE,562,,0,3,4,LIVE,0,236,206,206,1,1,1,1
0x06029810,FUN_06001810,392,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06029998,FUN_06001998,30,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x060299B6,FUN_060019B6,194,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06029A78,FUN_06001A78,30,,0,4,4,LIVE,28,28,28,28,1,1,1,1
0x06029A96,FUN_06001A96,522,,0,4,4,LIVE,292,292,292,292,1,1,1,1
0x06029CA0,FUN_06001CA0,236,,0,4,4,LIVE,112,112,112,112,1,1,1,1
0x06029D8C,FUN_06001D8C,260,,0,4,4,LIVE,210,210,214,210,1,1,1,1
0x06029E90,FUN_06001E90,228,,0,4,4,LIVE,122,122,122,122,1,1,1,1
0x06029F74,FUN_06001F74,116,,0,4,4,LIVE,20,20,20,20,1,1,1,1
0x06029FE8,FUN_06001FE8,96,,0,4,4,LIVE,86,86,86,86,1,1,1,1
0x0602A048,FUN_06002048,208,B5,1,4,0,KILL_LIST,124,124,124,124,0,0,0,0
0x0602A118,FUN_06002118,244,,0,4,4,LIVE,126,182,166,166,1,1,1,1
0x0602A20C,FUN_0600220C,152,B5,1,3,0,KILL_LIST,0,112,96,96,0,0,0,0
0x0602A2A4,FUN_060022A4,88,B1,1,1,1,SWEEP_FALSE_DEAD,0,52,0,0,0,1,0,0
0x0602A2FC,FUN_060022FC,116,,0,4,4,LIVE,110,110,110,110,1,1,1,1
0x0602A370,FUN_06002370,468,,0,4,4,LIVE,36,36,44,36,1,1,1,1
0x0602A544,FUN_06002544,288,B5,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602A664,FUN_06002664,136,B5,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602A6EC,FUN_060026EC,300,,0,4,4,LIVE,224,224,224,224,1,1,1,1
0x0602A818,FUN_06002818,224,,0,4,4,LIVE,190,212,190,212,1,1,1,1
0x0602A8F8,FUN_060028F8,2,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602A8FA,FUN_060028FA,94,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602A958,FUN_06002958,152,,0,4,4,LIVE,110,110,112,110,1,1,1,1
0x0602A9F0,FUN_060029F0,184,,0,4,4,LIVE,134,134,134,134,1,1,1,1
0x0602AAA8,FUN_06002AA8,14,,0,4,4,LIVE,12,12,12,12,1,1,1,1
0x0602AAB6,FUN_06002AB6,386,,0,4,4,LIVE,128,188,128,188,1,1,1,1
0x0602AC38,FUN_06002C38,30,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602AC56,FUN_06002C56,450,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602AE18,FUN_06002E18,44,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602AE44,FUN_06002E44,48,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602AE74,FUN_06002E74,356,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602AFD8,FUN_06002FD8,60,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602B014,FUN_06003014,236,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
