addr,name,symbol_class,runtime_tier,direct_callers,shifted_callers,shift_detail,verdict_hint
0x06028DCA,FUN_06028DCA,global-FUN,real-call,1,0,,has-direct-caller
0x060291E0,FUN_060291E0,global-FUN,real-call,2,0,,has-direct-caller
0x06029810,FUN_06029810,global-FUN,real-call,1,0,,has-direct-caller
0x06029998,FUN_06029998,global-FUN,real-call,2,0,,has-direct-caller
0x06029A60,DAT_06029A60,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x06029A78,FUN_06029A78,global-FUN,real-call,2,2,-4:2,has-direct-caller
0x06029CA0,FUN_06029CA0,global-FUN,real-call,2,0,,has-direct-caller
0x06029D8C,FUN_06029D8C,global-FUN,real-call,1,0,,has-direct-caller
0x06029E90,FUN_06029E90,global-FUN,real-call,1,0,,has-direct-caller
0x06029F74,FUN_06029F74,global-FUN,real-call,1,0,,has-direct-caller
0x06029FE8,FUN_06029FE8,global-FUN,real-call,1,0,,has-direct-caller
0x0602A118,FUN_0602A118,global-FUN,real-call,1,0,,has-direct-caller
0x0602A2FC,FUN_0602A2FC,global-FUN,real-call,1,0,,has-direct-caller
0x0602A370,FUN_0602A370,global-FUN,real-call,1,0,,has-direct-caller
0x0602A544,FUN_0602A544,global-FUN,real-call,1,0,,has-direct-caller
0x0602A6EC,FUN_0602A6EC,global-FUN,real-call,3,0,,has-direct-caller
0x0602A818,FUN_0602A818,global-FUN,real-call,4,0,,has-direct-caller
0x0602A958,FUN_0602A958,global-FUN,real-call,2,0,,has-direct-caller
0x0602AA84,DAT_0602AA84,PROVIDE-alias,real-call,2,1,-4:1,has-direct-caller
0x0602AAA8,FUN_0602AAA8,global-FUN,real-call,3,0,,has-direct-caller
0x0602B21C,DAT_0602B21C,PROVIDE-alias,real-call,5,0,,has-direct-caller
0x0602B22C,FUN_0602B22C,global-FUN,real-call,2,0,,has-direct-caller
0x0602B6D4,FUN_0602B6D4,global-FUN,real-call,3,0,,has-direct-caller
0x0602BAB8,FUN_0602BAB8,global-FUN,real-call,1,0,,has-direct-caller
0x0602BDDC,FUN_0602BDDC,global-FUN,real-call,2,0,,has-direct-caller
0x0602BEBE,FUN_0602BEBE,global-FUN,real-call,1,0,,has-direct-caller
0x0602C020,DAT_0602C020,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x0602C044,DAT_0602C044,PROVIDE-alias,real-call,3,0,,has-direct-caller
0x0602C0A2,FUN_0602C0A2,global-FUN,real-call,1,0,,has-direct-caller
0x0602C3B4,DAT_0602C3B4,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x0602C3BE,DAT_0602C3BE,PROVIDE-alias,real-call,3,0,,has-direct-caller
0x0602C3DE,DAT_0602C3DE,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x0602C764,FUN_0602C764,global-FUN,real-call,1,0,,has-direct-caller
0x0602CB28,FUN_0602CB28,global-FUN,real-call,0,1,-2:1,callsite-shifted
0x0602CC74,FUN_0602CC74,global-FUN,real-call,4,0,,has-direct-caller
0x0602CC84,DAT_0602CC84,PROVIDE-alias,real-call,3,1,-2:1,has-direct-caller
0x0602CD62,DAT_0602CD62,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x0602CD98,FUN_0602CD98,global-FUN,real-call,2,0,,has-direct-caller
0x0602CF10,FUN_0602CF10,global-FUN,real-call,2,0,,has-direct-caller
0x0602D03A,DAT_0602D03A,PROVIDE-alias,real-call,2,0,,has-direct-caller
0x0602D046,DAT_0602D046,PROVIDE-alias,real-call,2,0,,has-direct-caller
0x0602D052,FUN_0602D052,global-FUN,real-call,54,0,,has-direct-caller
0x0602D090,DAT_0602D090,PROVIDE-alias,real-call,5,0,,has-direct-caller
0x0602D102,FUN_0602D102,global-FUN,real-call,21,0,,has-direct-caller
0x0602D13A,FUN_0602D13A,global-FUN,real-call,3,0,,has-direct-caller
0x0602D270,FUN_0602D270,global-FUN,tail-call,1,0,,has-direct-caller
0x0602D392,FUN_0602D392,global-FUN,tail-call,1,0,,has-direct-caller
0x0602D4D0,FUN_0602D4D0,global-FUN,real-call,2,0,,has-direct-caller
0x0602D9F0,FUN_0602D9F0,global-FUN,real-call,7,0,,has-direct-caller
0x0602DAAE,FUN_0602DAAE,global-FUN,real-call,3,0,,has-direct-caller
0x0602DBDC,FUN_0602DBDC,global-FUN,real-call,2,0,,has-direct-caller
0x0602DD42,FUN_0602DD42,global-FUN,real-call,2,0,,has-direct-caller
0x0602DD50,FUN_0602DD50,global-FUN,real-call,10,0,,has-direct-caller
0x0602DEE0,FUN_0602DEE0,global-FUN,real-call,6,0,,has-direct-caller
0x0602DF9C,FUN_0602DF9C,global-FUN,real-call,3,0,,has-direct-caller
0x0602E03C,FUN_0602E03C,global-FUN,real-call,4,0,,has-direct-caller
0x0602E094,FUN_0602E094,global-FUN,real-call,3,0,,has-direct-caller
0x0602E3F4,FUN_0602E3F4,global-FUN,real-call,1,0,,has-direct-caller
0x0602E538,FUN_0602E538,global-FUN,real-call,3,0,,has-direct-caller
0x0602E610,FUN_0602E610,global-FUN,real-call,6,0,,has-direct-caller
0x0602E738,DAT_0602E738,PROVIDE-alias,tail-call,2,0,,has-direct-caller
0x0602E770,FUN_0602E770,global-FUN,real-call,3,0,,has-direct-caller
0x0602E928,DAT_0602E928,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x0602E988,FUN_0602E988,global-FUN,real-call,2,0,,has-direct-caller
0x0602ED5A,DAT_0602ED5A,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x0602EDB4,DAT_0602EDB4,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x0602EE64,FUN_0602EE64,global-FUN,real-call,1,0,,has-direct-caller
0x0602EEA4,FUN_0602EEA4,global-FUN,real-call,1,0,,has-direct-caller
0x0602EED0,FUN_0602EED0,global-FUN,real-call,1,0,,has-direct-caller
0x0602EF5C,FUN_0602EF5C,global-FUN,tail-call,3,0,,has-direct-caller
0x0602F114,FUN_0602F114,global-FUN,real-call,2,0,,has-direct-caller
0x0602F168,DAT_0602F168,PROVIDE-alias,real-call,5,0,,has-direct-caller
0x0602F34A,FUN_0602F34A,global-FUN,real-call,3,0,,has-direct-caller
0x0602F34A,DAT_0602F34A,PROVIDE-alias,real-call,3,0,,has-direct-caller
0x0602F42C,DAT_0602F42C,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x0602F4A6,FUN_0602F4A6,global-FUN,real-call,1,1,-2:1,has-direct-caller
0x0602F81E,DAT_0602F81E,PROVIDE-alias,real-call,2,0,,has-direct-caller
0x0602F8E8,FUN_0602F8E8,global-FUN,real-call,1,0,,has-direct-caller
0x0602FA76,FUN_0602FA76,global-FUN,tail-call,3,0,,has-direct-caller
0x0602FA88,FUN_0602FA88,global-FUN,real-call,2,0,,has-direct-caller
0x0602FACC,DAT_0602FACC,PROVIDE-alias,real-call,6,0,,has-direct-caller
0x0602FAEC,FUN_0602FAEC,global-FUN,tail-call,5,0,,has-direct-caller
0x0602FB94,FUN_0602FB94,global-FUN,real-call,2,1,-4:1,has-direct-caller
0x0602FCD4,FUN_0602FCD4,global-FUN,real-call,3,0,,has-direct-caller
0x0602FCFE,FUN_0602FCFE,global-FUN,real-call,3,0,,has-direct-caller
0x0602FFC0,FUN_0602FFC0,global-FUN,real-call,5,0,,has-direct-caller
0x0603004C,DAT_0603004C,PROVIDE-alias,real-call,8,0,,has-direct-caller
0x06030090,FUN_06030090,global-FUN,real-call,3,0,,has-direct-caller
0x0603043A,DAT_0603043A,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x06030488,DAT_06030488,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x06030520,FUN_06030520,global-FUN,tail-call,2,1,-8:1,has-direct-caller
0x0603072A,FUN_0603072A,global-FUN,real-call,2,0,,has-direct-caller
0x06030742,DAT_06030742,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x060307A0,FUN_060307A0,global-FUN,real-call,1,0,,has-direct-caller
0x06030824,FUN_06030824,global-FUN,real-call,6,0,,has-direct-caller
0x060308C0,FUN_060308C0,global-FUN,real-call,9,0,,has-direct-caller
0x06030A1C,FUN_06030A1C,global-FUN,real-call,5,0,,has-direct-caller
0x06030A48,FUN_06030A48,global-FUN,real-call,1,0,,has-direct-caller
0x06030AD8,FUN_06030AD8,global-FUN,real-call,1,0,,has-direct-caller
0x06030AFA,FUN_06030AFA,global-FUN,real-call,3,0,,has-direct-caller
0x06030B7C,FUN_06030B7C,global-FUN,tail-call,1,0,,has-direct-caller
0x06030C7C,FUN_06030C7C,global-FUN,real-call,3,0,,has-direct-caller
0x06030C9E,FUN_06030C9E,global-FUN,real-call,14,0,,has-direct-caller
0x06030CE6,DAT_06030CE6,PROVIDE-alias,real-call,4,0,,has-direct-caller
0x06030D20,FUN_06030D20,global-FUN,real-call,3,0,,has-direct-caller
0x06030EC8,FUN_06030EC8,global-FUN,real-call,1,0,,has-direct-caller
0x06030FEA,FUN_06030FEA,global-FUN,tail-call,2,0,,has-direct-caller
0x06031008,FUN_06031008,global-FUN,real-call,4,0,,has-direct-caller
0x060312E0,FUN_060312E0,global-FUN,real-call,1,0,,has-direct-caller
0x060313FC,FUN_060313FC,global-FUN,real-call,4,0,,has-direct-caller
0x0603164A,FUN_0603164A,global-FUN,real-call,4,0,,has-direct-caller
0x060317AC,FUN_060317AC,global-FUN,tail-call,1,0,,has-direct-caller
0x060317DC,FUN_060317DC,global-FUN,tail-call,7,0,,has-direct-caller
0x06031B0C,FUN_06031B0C,global-FUN,real-call,1,0,,has-direct-caller
0x06031CC2,FUN_06031CC2,global-FUN,real-call,2,0,,has-direct-caller
0x06031DFA,FUN_06031DFA,global-FUN,real-call,1,1,-2:1,has-direct-caller
0x06031F2C,FUN_06031F2C,global-FUN,real-call,2,0,,has-direct-caller
0x06032010,FUN_06032010,global-FUN,real-call,3,0,,has-direct-caller
0x0603234C,FUN_0603234C,global-FUN,real-call,3,0,,has-direct-caller
0x060324E8,FUN_060324E8,global-FUN,real-call,7,0,,has-direct-caller
0x06032AB0,FUN_06032AB0,global-FUN,tail-call,2,0,,has-direct-caller
0x06032BAC,FUN_06032BAC,global-FUN,real-call,2,0,,has-direct-caller
0x06032E14,FUN_06032E14,global-FUN,real-call,9,0,,has-direct-caller
0x06032E44,FUN_06032E44,global-FUN,real-call,1,0,,has-direct-caller
0x060330B0,FUN_060330B0,global-FUN,real-call,3,0,,has-direct-caller
0x0603336C,FUN_0603336C,global-FUN,real-call,1,0,,has-direct-caller
0x0603353C,FUN_0603353C,global-FUN,real-call,2,0,,has-direct-caller
0x06033830,FUN_06033830,global-FUN,real-call,1,0,,has-direct-caller
0x06033970,FUN_06033970,global-FUN,real-call,1,0,,has-direct-caller
0x06033A78,FUN_06033A78,global-FUN,real-call,1,0,,has-direct-caller
0x06033AAC,FUN_06033AAC,global-FUN,real-call,2,0,,has-direct-caller
0x06033AFA,FUN_06033AFA,global-FUN,real-call,1,0,,has-direct-caller
0x06033B64,FUN_06033B64,global-FUN,real-call,0,1,-2:1,callsite-shifted
0x06034CEC,FUN_06034CEC,global-FUN,real-call,2,0,,has-direct-caller
0x06034D32,FUN_06034D32,global-FUN,real-call,2,0,,has-direct-caller
0x06034D90,FUN_06034D90,global-FUN,real-call,1,0,,has-direct-caller
0x06034F3C,FUN_06034F3C,global-FUN,real-call,2,0,,has-direct-caller
0x060351CC,FUN_060351CC,global-FUN,real-call,3,0,,has-direct-caller
0x060352E8,DAT_060352E8,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x0603533C,DAT_0603533C,PROVIDE-alias,tail-call,1,0,,has-direct-caller
0x060354A0,FUN_060354A0,global-FUN,real-call,1,0,,has-direct-caller
0x06035624,FUN_06035624,global-FUN,real-call,2,0,,has-direct-caller
0x06035748,FUN_06035748,global-FUN,tail-call,1,0,,has-direct-caller
0x06035750,FUN_06035750,global-FUN,real-call,1,0,,has-direct-caller
0x06035904,FUN_06035904,global-FUN,real-call,1,0,,has-direct-caller
0x06035B0E,FUN_06035B0E,global-FUN,real-call,1,0,,has-direct-caller
0x06035B30,FUN_06035B30,global-FUN,real-call,1,0,,has-direct-caller
0x06035C58,FUN_06035C58,global-FUN,real-call,3,0,,has-direct-caller
0x06035C98,FUN_06035C98,global-FUN,real-call,1,0,,has-direct-caller
0x06035EE8,FUN_06035EE8,global-FUN,real-call,2,0,,has-direct-caller
0x06035F48,FUN_06035F48,global-FUN,real-call,1,0,,has-direct-caller
0x060366EC,DAT_060366EC,PROVIDE-alias,real-call,2,0,,has-direct-caller
0x06036790,FUN_06036790,global-FUN,real-call,3,0,,has-direct-caller
0x0603679A,FUN_0603679A,global-FUN,isr-entered,0,0,,zero-caller
0x060368D4,FUN_060368D4,global-FUN,real-call,1,0,,has-direct-caller
0x06036914,FUN_06036914,global-FUN,real-call,1,0,,has-direct-caller
0x06036948,FUN_06036948,global-FUN,real-call,1,0,,has-direct-caller
0x06036990,FUN_06036990,global-FUN,tail-call,1,0,,has-direct-caller
0x06036A0E,FUN_06036A0E,global-FUN,isr-entered,1,0,,has-direct-caller
0x06036A70,FUN_06036A70,global-FUN,real-call,2,0,,has-direct-caller
0x06036AA8,FUN_06036AA8,global-FUN,real-call,6,0,,has-direct-caller
0x06036AB6,FUN_06036AB6,global-FUN,isr-entered,0,0,,zero-caller
0x06036B60,FUN_06036B60,global-FUN,real-call,1,0,,has-direct-caller
0x06036BB8,FUN_06036BB8,global-FUN,real-call,1,0,,has-direct-caller
0x06036CEC,DAT_06036CEC,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x06036D52,FUN_06036D52,global-FUN,real-call,1,0,,has-direct-caller
0x06036E6C,FUN_06036E6C,global-FUN,real-call,1,0,,has-direct-caller
0x06036F40,DAT_06036F40,PROVIDE-alias,real-call,3,4,-2:4,has-direct-caller
0x06036FDE,DAT_06036FDE,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x0603704A,DAT_0603704A,PROVIDE-alias,real-call,2,0,,has-direct-caller
0x060370A0,DAT_060370A0,PROVIDE-alias,real-call,2,0,,has-direct-caller
0x060371FC,FUN_060371FC,global-FUN,tail-call,2,0,,has-direct-caller
0x06037484,DAT_06037484,PROVIDE-alias,real-call,2,0,,has-direct-caller
0x060374F2,DAT_060374F2,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x06037592,DAT_06037592,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x06037654,DAT_06037654,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x06037B98,FUN_06037B98,global-FUN,real-call,3,0,,has-direct-caller
0x06037D58,DAT_06037D58,PROVIDE-alias,real-call,4,0,,has-direct-caller
0x06037D74,DAT_06037D74,PROVIDE-alias,real-call,4,0,,has-direct-caller
0x06037E28,FUN_06037E28,global-FUN,real-call,5,5,-4:5,has-direct-caller
0x060384C4,FUN_060384C4,global-FUN,real-call,9,0,,has-direct-caller
0x060385CE,FUN_060385CE,global-FUN,real-call,7,0,,has-direct-caller
0x060386D8,FUN_060386D8,global-FUN,real-call,4,0,,has-direct-caller
0x06038A84,FUN_06038A84,global-FUN,real-call,0,8,-2:8,callsite-shifted
0x06038BC4,FUN_06038BC4,global-FUN,real-call,3,0,,has-direct-caller
0x06038C64,FUN_06038C64,global-FUN,real-call,7,0,,has-direct-caller
0x06038DD8,FUN_06038DD8,global-FUN,real-call,4,0,,has-direct-caller
0x06039014,FUN_06039014,global-FUN,real-call,1,0,,has-direct-caller
0x06039110,FUN_06039110,global-FUN,real-call,2,0,,has-direct-caller
0x0603938C,FUN_0603938C,global-FUN,real-call,0,2,-2:2,callsite-shifted
0x0603976C,FUN_0603976C,global-FUN,real-call,4,0,,has-direct-caller
0x06039AA4,FUN_06039AA4,global-FUN,real-call,22,0,,has-direct-caller
