addr,name,symbol_class,runtime_tier,branch_count,pool_count,total_callers,first_caller
0x06028DCA,FUN_06028DCA,global-FUN,real-call,1,0,1,src\race\FUN_06028000.s:189 [branch]
0x060291E0,FUN_060291E0,global-FUN,real-call,1,1,2,src\race\FUN_06028000.s:1759 [branch]
0x06029810,FUN_06029810,global-FUN,real-call,0,1,1,src\race\FUN_06032E44.s:1713 [pool]
0x06029998,FUN_06029998,global-FUN,real-call,0,2,2,src\race\FUN_06028000.s:2276 [pool]
0x06029A60,DAT_06029A60,PROVIDE-alias,real-call,0,1,1,src\race\FUN_06028000.s:252 [pool]
0x06029A78,FUN_06029A78,global-FUN,real-call,0,2,2,src\race\FUN_06028000.s:1104 [pool]
0x06029CA0,FUN_06029CA0,global-FUN,real-call,0,2,2,src\race\FUN_06029A78.s:250 [pool]
0x06029D8C,FUN_06029D8C,global-FUN,real-call,0,1,1,src\race\FUN_06029A78.s:296 [pool]
0x06029E90,FUN_06029E90,global-FUN,real-call,1,0,1,src\race\FUN_06029D8C.s:101 [branch]
0x06029F74,FUN_06029F74,global-FUN,real-call,1,0,1,src\race\FUN_06029D8C.s:75 [branch]
0x06029FE8,FUN_06029FE8,global-FUN,real-call,1,0,1,src\race\FUN_06029D8C.s:129 [branch]
0x0602A118,FUN_0602A118,global-FUN,real-call,1,0,1,src\race\FUN_06029D8C.s:131 [branch]
0x0602A2FC,FUN_0602A2FC,global-FUN,real-call,1,0,1,src\race\FUN_06029D8C.s:524 [branch]
0x0602A370,FUN_0602A370,global-FUN,real-call,1,0,1,src\race\FUN_06029D8C.s:77 [branch]
0x0602A544,FUN_0602A544,global-FUN,real-call,1,0,1,src\race\FUN_06029D8C.s:136 [branch]
0x0602A6EC,FUN_0602A6EC,global-FUN,real-call,0,3,3,src\race\FUN_06029D8C.s:227 [pool]
0x0602A818,FUN_0602A818,global-FUN,real-call,4,0,4,src\race\FUN_06029D8C.s:1335 [branch]
0x0602A958,FUN_0602A958,global-FUN,real-call,0,2,2,src\race\FUN_06029D8C.s:229 [pool]
0x0602AA84,DAT_0602AA84,PROVIDE-alias,real-call,0,2,2,src\race\FUN_06029D8C.s:223 [pool]
0x0602AAA8,FUN_0602AAA8,global-FUN,real-call,0,3,3,src\race\FUN_0602B22C.s:10576 [pool]
0x0602B21C,DAT_0602B21C,PROVIDE-alias,real-call,0,5,5,src\race\FUN_06033DC8.s:256 [pool]
0x0602B22C,FUN_0602B22C,global-FUN,real-call,0,2,2,src\race\FUN_06028000.s:2769 [pool]
0x0602B6D4,FUN_0602B6D4,global-FUN,real-call,0,3,3,src\race\FUN_06028000.s:759 [pool]
0x0602BAB8,FUN_0602BAB8,global-FUN,real-call,1,0,1,src\race\FUN_0602B22C.s:957 [branch]
