addr,name,symbol_class,predecessor,pred_last_insns,status,decision,confidence,style,kind,R1,R2,R3,R4,R5,R6,H1,H2,H3,H4,H5,notes,batch_id,decided_at,kind_predicted,direct_callers,shifted_callers,shift_detail,predecessor_terminates,orphan_count,bypass_detected,kind_hint,verdict_hint
0x06029958,DAT_06029958,PROVIDE-alias,,,decided,KEEP,HIGH,N/A,data,-,-,-,-,-,-,Y,Y,Y,-,-,byte address-pair data table after FUN_06029810 pools,B001,2026-05-10,data,1,0,,,,,,has-direct-caller
0x06029A48,DAT_06029A48,PROVIDE-alias,,,decided,KEEP,HIGH,N/A,sibling-lost,-,-,-,-,Y,Y,Y,-,Y,-,-,unlabeled memclr leaf; jsr @r1 from FUN_06028000 pool; standalone (no labeled sibling at +/-N) so Style N/A,B001,2026-05-10,sibling-lost,1,0,,,,,,has-direct-caller
0x06029F68,DAT_06029F68,PROVIDE-alias,,,decided,KEEP,HIGH,N/A,data,-,-,-,-,-,-,Y,Y,Y,-,-,head of 12-byte signed-byte table; byte-indexed load consumer,B001,2026-05-10,data,2,0,,,,,,has-direct-caller
0x06029F6D,DAT_06029F6D,PROVIDE-alias,,,decided,KEEP,HIGH,N/A,data,-,-,-,-,-,-,Y,Y,Y,-,-,5 bytes into same byte table as 0x06029F68; byte-indexed load consumer,B001,2026-05-10,data,1,0,,,,,,has-direct-caller
0x0602A3A4,DAT_0602A3A4,PROVIDE-alias,,,decided,KEEP,HIGH,N/A,data,-,-,-,-,-,-,Y,Y,Y,-,-,head of 16-bit delta table after FUN_0602A370 rts,B001,2026-05-10,data,2,0,,,,,,has-direct-caller
0x0602A8FA,FUN_0602A8FA,global-FUN,FUN_0602A8F8,sts,decided,MERGE,HIGH,B,altentry,Y,-,-,-,-,Y,-,-,Y,-,-,skip-PR-save altentry; 2-byte parent FUN_0602A8F8 saves PR then falls through,B002,2026-05-11,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0602AC56,FUN_0602AC56,global-FUN,FUN_0602AC38,mov|mov,decided,MERGE,HIGH,B,altentry,Y,-,-,-,-,Y,-,-,Y,-,-,skip-context-save altentry; predecessor pushes r0-r2 then falls through,B002,2026-05-11,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0602C6F2,FUN_0602C6F2,global-FUN,FUN_0602C59A,mov|mov,decided,MERGE,MEDIUM,N/A,callsite-shifted,Y,-,-,-,-,Y,-,-,Y,-,-,sub-case B (no live caller); pred rts at 0x0602C6EA; 2 insns before us (mov r4 r1 + mov.l .L_pool r3) look like arg-shuffle + fn-ptr load; real entry plausibly at 0x0602C6EE per Ghidra-prologue-bias; flagged TRACK_DEAD by prior workstream,B002,2026-05-11,altentry,0,0,,Y,2,-,callsite-shifted-B,zero-caller
0x0602D382,FUN_0602D382,global-FUN,FUN_0602D270,mov|mov,decided,KEEP,HIGH,N/A,callsite-shifted,-,-,-,-,-,-,-,Y,Y,-,-,DAT_0602D37E (this -4) is the live sibling; called via pool+jsr from FUN_060336C8; merge into sibling asm block when D37E is lifted; Style N/A since body absorbed into sibling,B002,2026-05-11,altentry,0,1,-4:1,Y,2,-,callsite-shifted-A,callsite-shifted
0x0602D7AC,FUN_0602D7AC,global-FUN,FUN_0602D78C,mov|mov,decided,KEEP,HIGH,B,altentry,-,Y,-,-,-,-,Y,-,Y,Y,-,post-prologue body altentry; predecessor builds frame; bra inbound from FUN_0602B22C:5487,B002,2026-05-11,altentry,1,0,,N,0,-,,has-direct-caller
