addr,node,size,type,pinned_entry_tu,inbound_refs_pristine,zero_inbound,reach_pristine,reach_transplant,falls_into_next,entered_by_fallthrough,retail_verdict,leg_verdict,selfcheck
0x06028000,src/race/asm/FUN_06028000.c,3530,code,1,0,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06028DCA,src/race/asm/FUN_06028DCA.c,1046,code,1,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x060291E0,src/race/asm/FUN_060291E0.c,936,code,1,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06029588,src/race/asm/FUN_06029588.c,86,code,1,1,0,1,1,0,0,RETAIL_DEAD_PINNED,T_REACH_RETAIL_DEAD,
0x060295DE,src/race/asm/FUN_060295DE.c,562,code,1,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06029810,src/race/asm/FUN_06029810.c,392,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06029998,src/race/asm/FUN_06029998.c,176,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06029A48,src/race/asm/FUN_06029A48.c,24,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x06029A60,src/race/asm/FUN_06029A60.c,24,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06029A78,src/race/asm/FUN_06029A78.c,552,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06029CA0,src/race/asm/FUN_06029CA0.c,236,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06029D8C,src/race/asm/FUN_06029D8C.c,260,code,0,1,0,1,1,1,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06029E90,src/race/asm/FUN_06029E90.c,228,code,0,2,0,1,1,0,1,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06029F74,src/race/asm/FUN_06029F74.c,116,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06029FE8,src/race/asm/FUN_06029FE8.c,96,code,0,1,0,1,1,1,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602A048,src/race/asm/FUN_0602A048.c,208,code,0,2,0,1,1,0,1,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602A118,src/race/asm/FUN_0602A118.c,244,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602A20C,src/race/asm/FUN_0602A20C.c,152,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602A2A4,src/race/asm/FUN_0602A2A4.c,88,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602A2FC,src/race/asm/FUN_0602A2FC.c,116,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602A370,src/race/asm/FUN_0602A370.c,468,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602A544,src/race/asm/FUN_0602A544.c,288,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602A664,src/race/asm/FUN_0602A664.c,136,code,0,1,0,1,1,1,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602A6EC,src/race/asm/FUN_0602A6EC.c,300,code,0,3,0,1,1,0,1,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602A818,src/race/asm/FUN_0602A818.c,224,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602A8F8,src/race/asm/FUN_0602A8F8.c,96,code,0,0,1,0,0,0,0,RETAIL_DEAD,T_UNREACH_RETAIL_DEAD,
0x0602A958,src/race/asm/FUN_0602A958.c,152,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
